customer_city,total_orders,late_orders,avg_delivery_days,avg_delivery_days_not_null,late_delivery_rate,level,product_category_name
,76,1,9.03,,1.32,category,portateis_casa_forno_e_cafe
,69,0,10.07,,0.0,category,cine_foto
,62,1,11.92,,1.61,category,dvds_blu_ray
,58,0,7.36,,0.0,category,livros_importados
,47,1,11.0,,2.13,category,fashion_roupa_feminina
,42,0,8.64,,0.0,category,artigos_de_festas
,38,4,13.53,,10.53,category,moveis_colchao_e_estofado
,35,2,11.43,,5.71,category,musica
,34,0,9.09,,0.0,category,fraldas_higiene
,33,1,10.7,,3.03,category,flores
,29,0,10.97,,0.0,category,fashion_esporte
,29,4,14.21,,13.79,category,casa_conforto_2
,21,0,5.43,,0.0,category,artes_e_artesanato
,15,0,7.27,,0.0,category,portateis_cozinha_e_preparadores_de_alimentos
,14,0,10.36,,0.0,category,cds_dvds_musicais
,13,0,7.23,,0.0,category,la_cuisine
,8,0,7.38,,0.0,category,pc_gamer
,8,0,7.12,,0.0,category,fashion_roupa_infanto_juvenil
